PLAYER_ID,PLAYER_NAME,AGE,POSS,GP,MIN,season,position,three_pt_fgm_75,three_pt_fga_75,fg3m_uncontested_75,fg3a_uncontested_75,fg3m_spotup_75,fg3m_movement_75,fg3m_onball_75,fg3m_transition_75,pct_fg3a_uncontested,fg3_pct
203200,Justin Holiday,35.0,1787,58,14.9,2023-24,Forward-Guard,2.3083379966424173,5.707890318970342,1.510912143256855,3.5674314493564636,1.510912143256855,0.2098489087856743,0.0,0.4196978175713486,0.625,0.4044117647058823
203458,Alex Len,31.0,940,48,9.3,2023-24,Center,0.0,0.23936170212765956,0.0,0.1595744680851064,0.0,0.0,0.0,0.0,0.6666666666666667,0.0
203468,CJ McCollum,32.0,4474,66,32.7,2023-24,Guard,4.00648189539562,9.337282074206527,1.8272239606616005,3.9897183728207417,1.5254805543138132,0.6873044255699597,0.8884666964684845,0.8214126061689763,0.4272890484739676,0.429084380610413
203469,Cody Zeller,31.0,700,43,7.4,2023-24,Forward-Center,0.10714285714285714,0.32142857142857145,0.10714285714285714,0.32142857142857145,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
203471,Dennis Schroder,30.0,5106,80,31.1,2023-24,Guard,2.027027027027027,5.3319623971797885,0.9988249118683902,2.746768507638073,1.1603995299647474,0.14688601645123386,0.32314923619271446,0.23501762632197415,0.5151515151515151,0.38016528925619836
203482,Kelly Olynyk,33.0,3743,78,22.5,2023-24,Forward-Center,1.202244189153086,3.1057974886454716,1.0419449639326743,2.8252738445097516,0.28052364413572,0.34063585359337434,0.020037403152551432,0.3606732567459257,0.9096774193548387,0.38709677419354843
203484,Kentavious Caldwell-Pope,31.0,4910,76,31.6,2023-24,Guard,1.909368635437882,4.70468431771894,1.115071283095723,2.5356415478615073,1.0539714867617107,0.21384928716904278,0.04582484725050917,0.5498981670061099,0.5389610389610391,0.40584415584415595
203486,Mason Plumlee,34.0,1417,46,14.7,2023-24,Forward-Center,0.0,0.3175723359209598,0.0,0.3175723359209598,0.0,0.0,0.0,0.0,1.0,0.0
203488,Mike Muscala,33.0,1293,53,11.3,2023-24,Forward-Center,1.6241299303944317,5.510440835266822,0.9280742459396752,3.1322505800464038,0.9860788863109049,0.1160092807424594,0.0,0.17401392111368907,0.5684210526315789,0.29473684210526313
203490,Otto Porter Jr.,31.0,376,15,11.6,2023-24,Forward,1.5957446808510638,4.587765957446808,1.1968085106382977,2.1941489361702127,1.3962765957446808,0.0,0.0,0.19946808510638298,0.4782608695652174,0.3478260869565218
